"partnumber","aviallaltuser","aviallaltuser - Price","aviallaltuser - Stock"
"MS122901","aviallaltuser",4.35,40
"MS21043-06","aviallaltuser",6,13
"MS21043-5","aviallaltuser",9.1,1321
"MS21103-13","aviallaltuser",0.8,602
"MS9489-05","aviallaltuser",2.61,33
"MS9489-16",,,
"M250-10603","aviallaltuser",2217,1
"M83723-61-214R","aviallaltuser",317.24,4
"MS122902","aviallaltuser",2.45,2
"MS122903","aviallaltuser",3.56,61
"MS122904","aviallaltuser",1.45,1657
"MS122910","aviallaltuser",12.87,97
"MS122915","aviallaltuser",9.38,1
"MS124660","aviallaltuser",2.22,1
"MS171468","aviallaltuser",22.53,10
"MS171492","aviallaltuser",11.56,1
"MS171592","aviallaltuser",1.7,79
"MS172203","aviallaltuser",8.24,56
"MS17294-026","aviallaltuser",30.33,49
"MS17301-083","aviallaltuser",33.29,58
"MS21043-3","aviallaltuser",3.3,7549
"MS21044N4","aviallaltuser",0.5,1959
"MS21044N5","aviallaltuser",2.09,195
"MS21045C4","aviallaltuser",3.4,480
"MS24665-1013","aviallaltuser",0.64,122
"MS24665-151","aviallaltuser",0.05,3932
"MS29513-019","aviallaltuser",1.7,25
"MS29513-232","aviallaltuser",2.29,342
"MS51830A201L","aviallaltuser",12.43,310
"MS51831A202L","aviallaltuser",16.13,836
"MS9015-06","aviallaltuser",15.3,30
"MS9016-18","aviallaltuser",16.53,193
"MS9016-21","aviallaltuser",14.64,669
"MS9034-10","aviallaltuser",7.82,9
"MS9060-05","aviallaltuser",8.85,86
"MS9060-07","aviallaltuser",13.75,435
"MS9061-12","aviallaltuser",19.64,34
"MS9088-06","aviallaltuser",13.54,41
"MS9165-02","aviallaltuser",16.03,30
"MS9217-28","aviallaltuser",19.95,23
"MS9320-10","aviallaltuser",0.7,3955
"MS9321-09","aviallaltuser",1.33,13
"MS9352-03","aviallaltuser",9.07,364
"MS9352-12","aviallaltuser",31.79,23
"MS9372-017","aviallaltuser",30.57,72
"MS9372-019","aviallaltuser",38.74,409
"MS9372-029","aviallaltuser",33.97,880
"MS9432-06","aviallaltuser",6.72,1574
"MS9432-07","aviallaltuser",20.53,591
"MS9452-17","aviallaltuser",8.31,13
"MS9486-02","aviallaltuser",1.7,24
"MS9486-04","aviallaltuser",1.28,9
"MS9486-06","aviallaltuser",2.69,7
"MS9486-25","aviallaltuser",1.22,151
"MS9489-27","aviallaltuser",22.02,503
"MS9490-07","aviallaltuser",6.58,37
"MS9492-09","aviallaltuser",97.86,30
"MS9501-20","aviallaltuser",24.53,231
"MS16627-4075",,,
"MS21043-04",,,
"MS29513-137",,,
"NAS509-7","aviallaltuser",20.67,2
"MS9530-10","aviallaltuser",0.95,2654
"MS9552-010","aviallaltuser",4.4,8
"MS9555-06","aviallaltuser",2.54,799
"MS9556-06","aviallaltuser",2.47,2
"MS9556-18","aviallaltuser",14.86,11
"MS9556-24","aviallaltuser",10.24,214
"MS9556-32","aviallaltuser",59.76,197
"MS9557-14","aviallaltuser",16.76,1028
"MS9557-33","aviallaltuser",14.54,14
"MS9565-06","aviallaltuser",3.98,10
"MS9565-07","aviallaltuser",16.56,21
"MS9565-28","aviallaltuser",15.09,77
"MS9565-31","aviallaltuser",22.77,16
"MS9565-33","aviallaltuser",14.81,407
"MS9568-04","aviallaltuser",17.04,18
"MS9575-06","aviallaltuser",11.48,32
"MS9584-04","aviallaltuser",126.24,112
"MS9592-050","aviallaltuser",11.36,5
"MS9593-015","aviallaltuser",40.86,196
"MS9705-14","aviallaltuser",46.66,18
"NAS1081-4A8N","aviallaltuser",61.39,271
"NAS1149C0363R","aviallaltuser",0.15,10042
"NAS1149C0432R","aviallaltuser",0.09,18627
"NAS1149C0463R","aviallaltuser",0.1,76
"NAS1149C0563R","aviallaltuser",1.58,100
"NAS1149C0632R","aviallaltuser",0.3,1059
"NAS1149E0332R","aviallaltuser",4.95,103
"NAS1149F0332P","aviallaltuser",0.09,23282
"NAS1149F0763P","aviallaltuser",0.09,901
"NAS1163-2N","aviallaltuser",85.33,31
"NAS1394-3","aviallaltuser",12.6,73
"NAS1394-3L","aviallaltuser",12.58,10
"NAS1789C3","aviallaltuser",96.31,9
"NAS509-9C","aviallaltuser",73.31,89
"NAS617-5","aviallaltuser",5.35,4
"NAS816-17","aviallaltuser",2.48,5
"RR30000372","aviallaltuser",2155.96,117
"ST1220","aviallaltuser",70.76,5
"ST1224","aviallaltuser",13.16,31
"ST1226","aviallaltuser",14.29,174
"ST1228P012","aviallaltuser",16.48,4
"ST1264","aviallaltuser",17.13,151
"MS9556-04",,,
"MS9556-08",,,
"MS9556-10",,,
"MS9593-074",,,
"NAS1149C0416R",,,
"NAS1149F0463P",,,
"NAS816-23",,,
"NAS1149C0932B",,,
"M250-10084","aviallaltuser",7041.95,10
