"partNumber","description","category","subCategory","manufacturer","stock","imgUrl","weight","vendor","price","unitMeasure","url","createdAt","updatedAt"
"6810461","RING: EXPANDER,SUPPORT,","Aircraft Parts","ENGINES","Rolls-Royce - M250 Piece Parts",1,"https://www.aviall.com/content-images/6810461=64_120.JPG",0,"aviallaltuser",81.65,"","https://shop.boeing.com/aviation-supply/p/6810461=64","{\"$date\":\"2024-02-13T19:11:34.462Z\"}","{\"$date\":\"2024-02-25T15:34:43.872Z\"}"
"6811397","SPRING - .701 OD X 1.308,","Aircraft Parts","ENGINES","Rolls-Royce - T56 Piece Parts",729,"https://www.aviall.com/content-images/6811397=T5_120.JPG",0,"aviallaltuser",18.56,"","https://shop.boeing.com/aviation-supply/p/6811397=T5","{\"$date\":\"2024-02-13T19:11:59.566Z\"}","{\"$date\":\"2024-02-25T15:43:03.047Z\"}"
"6812078","BRACKET: MOUNTING,ST,","Aircraft Parts","ENGINES","Rolls-Royce - T56 Piece Parts",85,null,0,"aviallaltuser",11.2,"","https://shop.boeing.com/aviation-supply/p/6812078=T5","{\"$date\":\"2024-02-13T19:13:58.692Z\"}","{\"$date\":\"2024-02-25T16:21:17.363Z\"}"
"6813675","RETAINER - CHECK VALVE,","Aircraft Parts","ENGINES","Rolls-Royce - T56 Piece Parts",14,null,0,"aviallaltuser",280.12,"","https://shop.boeing.com/aviation-supply/p/6813675=T5","{\"$date\":\"2024-02-13T19:17:02.479Z\"}","{\"$date\":\"2024-02-25T16:28:23.233Z\"}"
"6814321","TUBEASSY-ANTI-ICINGAIR.625OD,","Aircraft Parts","ENGINES","Rolls-Royce - T56 Piece Parts",19,"https://www.aviall.com/content-images/6814321=T5_120.JPG",0,"aviallaltuser",1062.75,"","https://shop.boeing.com/aviation-supply/p/6814321=T5","{\"$date\":\"2024-02-13T19:20:56.703Z\"}","{\"$date\":\"2024-02-25T16:29:41.363Z\"}"
"6814894P009","PIN:,","Aircraft Parts","ENGINES","Rolls-Royce - T56 Piece Parts",329,null,0,"aviallaltuser",357.5,"","https://shop.boeing.com/aviation-supply/p/6814894P009=T5","{\"$date\":\"2024-02-13T19:22:24.916Z\"}","{\"$date\":\"2024-02-25T18:44:11.933Z\"}"
"6814894P015","PIN:,","Aircraft Parts","ENGINES","Rolls-Royce - T56 Piece Parts",0,null,0,"aviallaltuser",null,"","https://shop.boeing.com/aviation-supply/p/6814894P015=T5","{\"$date\":\"2024-02-13T19:22:28.873Z\"}","{\"$date\":\"2024-02-25T19:37:04.002Z\"}"
"6816022","PICKUP: TORQUEMETER ASSEMBLY,","Aircraft Parts","ENGINES","Rolls-Royce - T56 Piece Parts",2,null,0,"aviallaltuser",2829.52,"","https://shop.boeing.com/aviation-supply/p/6816022=T5","{\"$date\":\"2024-02-13T19:25:55.851Z\"}","{\"$date\":\"2024-02-25T15:59:06.554Z\"}"
"6816326","ROD: .312-24 RH X .312-24,","Aircraft Parts","ENGINES","Rolls-Royce - T56 Piece Parts",8,null,0,"aviallaltuser",215,"","https://shop.boeing.com/aviation-supply/p/6816326=T5","{\"$date\":\"2024-02-13T19:27:39.910Z\"}","{\"$date\":\"2024-02-25T16:32:28.711Z\"}"
"6820084","WASHER: FLT,ST,","Aircraft Parts","ENGINES","Rolls-Royce - M250 Piece Parts",4,null,0,"aviallaltuser",53.57,"","https://shop.boeing.com/aviation-supply/p/6820084=R4","{\"$date\":\"2024-02-13T19:32:20.411Z\"}","{\"$date\":\"2024-02-25T17:18:39.525Z\"}"
"6820291","RING: RETAINING,INT,ST,","Aircraft Parts","ENGINES","Rolls-Royce - M250 Piece Parts",100,"https://www.aviall.com/content-images/6820291=64_120.JPG",0,"aviallaltuser",187.43,"","https://shop.boeing.com/aviation-supply/p/6820291=64","{\"$date\":\"2024-02-13T19:34:03.598Z\"}","{\"$date\":\"2024-02-25T16:03:17.684Z\"}"
"6820586","GEARSHAFT: IDLER,SUPPORT,","Aircraft Parts","ENGINES","Rolls-Royce - M250 Piece Parts",3,null,0,"aviallaltuser",68.9,"","https://shop.boeing.com/aviation-supply/p/6820586=MO","{\"$date\":\"2024-02-13T19:35:49.688Z\"}","{\"$date\":\"2024-02-25T17:34:46.136Z\"}"
"6820588","WASHER: KEYWAY,ST, BEARING RETAINER","Aircraft Parts","ENGINES","Rolls-Royce - M250 Piece Parts",2,null,0,"aviallaltuser",137.25,"","https://shop.boeing.com/aviation-supply/p/6820588=64","{\"$date\":\"2024-02-13T19:36:18.748Z\"}","{\"$date\":\"2024-02-25T16:26:42.032Z\"}"
"6820668","WASHER: INT FLARED,ST,","Aircraft Parts","ENGINES","Rolls-Royce - M250 Piece Parts",4,null,0,"aviallaltuser",71.56,"","https://shop.boeing.com/aviation-supply/p/6820668=64","{\"$date\":\"2024-02-13T19:36:48.792Z\"}","{\"$date\":\"2024-02-25T16:26:29.328Z\"}"
